nr_crt,sucursala,departament,adresa_imobil,constructie_mp,teren_mp,observatii
1,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Str. Zăvoiului, Nr. 38, Băile Herculane, Jud. Caraș-Severin",,912,153 mp extravilan pasune 759 mp intravilan padure
2,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Str. Zăvoiului, Nr. 38, Băile Herculane, Jud. Caraș-Severin",,850,"107mp intravilan, 743mp extravilan categorie de folosinta livada"
3,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Str. Zăvoiului, Nr. 38, Băile Herculane, Jud. Caraș-Severin",,3223,"extravilan si intravilan, categorie livada si curti constructii pe teren se afla 2 constructii edificate fara acte care nu apartin RA APPS (conform CF)"
4,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Calea Dorobantilor, nr. 94, C1-C3, C5-C7, Timisoara, jud. Timis",3490,45032,Litigiu
5,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Tarlaua Buduștău, Apahida, Jud. Cluj",,200000,Teren extravilan cu propunere de vanzare
6,SUCURSALA PENTRU REPREZENTARE SI PROTOCOL VICTORIA CLUJ-NAPOCA,,"Str. Libertatii, Nr. 63, Apahida, Jud. Cluj",6487.45,40138,"Litigiu Cladiri in stadiul de ruina, 2 cladiri au fost radiate si continua procedurile de radiere din CF"
1,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Piata Presei Libere nr.1, Corp A4, B1,B2,B3,C1,C2,C3,D1,D2, Garaj",2116.62,0.00,In procedura de scoatere la licitatie pentru inchiriere
2,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Piata Presei Libere nr.1, Corp B1, partial subparcela 22, Locuri de parcare, 16 locuri / Corp C1, partial subparcela 14, Locuri de parcare, 17 locuri",0,412.50,In procedura de scoatere la licitatie pentru inchiriere
3,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,B-dul Regina Elisabeta nr. 7-9,59.06,0.00,In procedura de scoatere la licitatie pentru inchiriere
4,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Str. Ion Campineanu nr. 20, Etaj 1- Cam 3,4,5,6,20,13,14,15,16,17",184.77,0.00,In procedura de scoatere la licitatie pentru inchiriere
5,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Bd. Carol I nr. 12,296.32,0.00,Propunere de vanzare
6,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Piata W.Maracineanu nr.1-3,909.03,0.00,In procedura de scoatere la licitatie pentru inchiriere
7,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Piata W.Maracineanu nr.1-3,988.86,0.00,In procedura de atribuire catre institutie publica
8,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Bd. Gh.Magheru nr. 28-30,208.53,0.00,In procedura de scoatere la licitatie pentru inchiriere
9,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Str.Polona, nr.17, Parter si etaj",182.33,345.00,In procedura de scoatere la licitatie pentru inchiriere
10,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Str. Ion Campineanu nr. 27,126.66,0.00,In procedura de scoatere la licitatie pentru inchiriere
11,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Calea Victoriei nr. 16-20,35.47,0.00,Risc seismic I - imobil in conservare
12,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Piata Rosetti nr. 4,2450.00,0.00,Risc seismic I - imobil in conservare
13,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Str. Eugeniu Carada nr. 3,841.30,266.00,Risc seismic I - imobil in conservare
14,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Str. Lipscani nr. 19,3107.61,0.00,Risc seismic I - imobil in conservare
15,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Str. Dianei nr. 8,607.00,411.00,Risc seismic I - imobil in conservare
16,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,Str. Dianei nr. 6A,152.10,257.00,Risc seismic I - imobil in conservare
17,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Str. Vasile Conta nr. 3-5, sector 2 - Garaj",1632.00,0.00,In procedura de scoatere la licitatie pentru vanzare
18,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Ardeleni nr. 1, et.1, ap.5 sector 2, Bucureşti",65.88,0.00,Procedură de scoatere la licitație pentru închiriere
19,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Ardeleni nr. 1, et.5, ap.24 sector 2, Bucureşti",64.25,0.00,Procedură de scoatere la licitație pentru închiriere
20,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"b-dul Aviatorilor nr. 86 sector 1, Bucureşti",831.95,1110.00,Procedură de scoatere la licitație pentru închiriere
21,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Bălescu Constantin, amiral nr. 29, et.1, ap.2, sector 1, Bucureşti",0.00,20.00,teren aferent unui apartament proprietate privata
22,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Bitolia nr. 10, et.1, ap.2, sector 1, Bucureşti",131.23,0.00,In renovare
23,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Bruxelles nr.3 sector 1, Bucureşti-boxe subsol",81.04,0.00,Litigiu revendicare
24,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Șos.București-Ploiești nr.5, sector 1, București",0.00,3702.00,Propunere vânzare/alee servitute trecere
25,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Calderon Jean Louis nr. 59, et.2, ap.10, sector 2, Bucureşti",134.72,0.00,Propunere vânzare
26,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Costache Negri nr. 10bis, P., ap.2, sector 5, Bucureşti",0.00,30.00,teren aferent unui apartament proprietate privata
27,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Crângului nr. 1, P., ap.1, sector 1, Bucureşti-curte",0.00,102.00,teren aferent unui apartament proprietate privata
28,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"b-dul Dacia nr. 55, et.1, ap.3, sector 1, Bucureşti",69.27,0.00,in procedură de atribuire conform OUG 101/2011
29,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"b-dul Dacia nr. 55, et.3, ap.7, sector 1, Bucureşti",67.74,0.00,in procedură de atribuire conform OUG 101/2011
30,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Docenților nr. 20 sector 1, Bucureşti",586.70,0.00,Litigiu revendicare
31,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Calea Dorobanţilor nr. 87, et. 5, ap. 5, sector 1, Bucureşti",98.05,0.00,in procedură de atribuire conform OUG 101/2011
32,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Calea Dorobanţilor nr. 87, et. 6, ap. 6 sector 1, Bucureşti",96.33,0.00,in procedură de atribuire conform OUG 101/2011
33,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drăghiescu, dr. nr. 4, p., ap.1, sector 5, Bucureşti",0.00,65.38,teren aferent unui apartament proprietate privata
34,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 4-10, P, ap. 1 sector 2, Bucureşti",50.51,0.00,Anexa 1^1 din OUG 101/2011
35,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 4-10, P., ap.3, sector 2, Bucureşti",33.81,0.00,Anexa 1^1 din OUG 101/2011
36,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 4-10, et 1., ap 6, sector 2, Bucureşti",118.82,0.00,Anexa 1^1 din OUG 101/2011
37,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 4-10, et.2, ap.10, Bucureşti",119.55,0.00,Anexa 1^1 din OUG 101/2011
38,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 13, parter, ap. 3 sector 2, Bucureşti",102.54,0.00,Anexa 1^1 din OUG 101/2011
39,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"str. Drobeta nr. 13, etaj 1, ap. 4 sector 2, Bucureşti",113.21,0.00,Anexa 1^1 din OUG 101/2011
40,SUCURSALA PENTRU ADMINISTRAREA SI INTRETINEREA FONDULUI IMOBILIAR,,"Bld. Mircea Eliade nr. 3, Sector 1, București",0.00,7460.00,zona costruit protejata/zona verde protejata
