nr_crt,sucursala,departament,denumire_persoana_juridica,adresa_imobil,constructie_mp,teren_mp,tip_contract,modalitate_atribuire,data_inceput,data_incetare,pret_ron,pret_eur
1,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Ti Trust Invest SA,"Str. Zăvoiului, Nr. 38, Băile Herculane, Jud. Caraș- Severin","779,13",2313,închiriere,licitație publică,14-Nov-24,13-Nov-29,,1541
2,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Generation Tennis Timisoara SRL,"Calea Dorobantilor, nr. 94, Timisoara, jud. Timis",,4500,închiriere,licitație publică,28-Apr-22,27-Apr-27,,1461
3,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Generation Tennis Timisoara SRL,"Calea Dorobantilor, nr. 94, Timisoara, jud. Timis",58,,închiriere,licitație publică,25-Mar-24,24-Mar-29,,72.8
4,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Nicol Rom SRL,"Str. Libertatii, Nr. 63, Apahida, Jud. Cluj",672,,închiriere,licitație publică,6-Jul-21,5-Jul-26,,1182
5,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Suprema Plus SRL,"Str. Libertatii, Nr. 63, Apahida, Jud. Cluj",226,,închiriere,licitație publică,22-Sep-22,21-Sep-27,,405
6,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Marica Mihaela Melania PFA,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",13.5,,închiriere,licitație publică,5-Feb-25,4-Feb-30,,200
7,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Activ Business Estate SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",9.2,,închiriere,licitație publică,2-Feb-22,1-Feb-27,,130
8,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Activ Business Estate SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",22,,închiriere,licitație publică,5-Feb-25,4-Feb-30,,220
9,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Reset Imobiliare SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",22,,închiriere,licitație publică,20-May-25,19-May-30,,188
10,SUCURSALA DE REPREZENTARE ȘI PROTOCOL ”VICTORIA” CLUJ-NAPOCA,,Create Beauty Distribution SRL,"B-dul 21Decembrie, nr.54- 56, Cluj Napoca, Jud. Cluj",43.55,,închiriere,licitație publică,11-Apr-24,10-Apr-29,,385
